"item_value","brand_id","activeFlag","brand","createDate","specification"
"古纤道绿色","","","","",""
"百泰","","","","",""
"春盛","","","","",""
"新凤鸣中辰","","","","",""
"无","","","","",""
"PET品牌","","","","",""
"涤纶长丝品牌","","","","",""
"再生PET品牌","","","","",""
"恒邦","","","","",""
"配件品牌","","","","",""
"国产","","","","",""
"盖茨GATES","","","","",""
"科源化工","","","","",""
"美国ORELUBE","","","","",""
"德国克鲁勃","","","","",""
"SKF","","","","",""
"德国 劳博抗LUBCON","","","","",""
"优倪塔UNITTA","","","","",""
"摩肯MOUKEN","","","","",""
"NSK","","","","",""
"NTN","","","","",""
"越剑","","","","",""
"碟丽","","","","",""
"进口","","","","",""
"NMB","","","","",""
"三耐斯","","","","",""
"德国腾高","","","","",""
"九荣","","","","",""
"九荣","","","","",""
"辽宁英冠","","","","",""
"赛琅泰克","","","","",""
"四川天娇","","","","",""
"FGJ","","","","",""
"YO","","","","",""
"欧皮特OPTIBELT OMEGA","","","","",""
"韩国捷豹","","","","",""
"马牌","","","","",""
"日本IKO","","","","",""
"INA","","","","",""
"张家港欣欣","","","","",""